假名,日语汉字,中文翻译,容易混淆的单词,混淆词翻译
エチケット,,礼仪,マナー,礼仪
えのぐ,絵の具,颜料,筆（ふで）,笔
エプロン,,围裙,上着（うわぎ）,上衣
えらい,偉い,伟大，了不起,小さい（ちいさい）,小
えんかい,宴会,宴会,パーティー,派对
えんげい,園芸,园艺,農業（のうぎょう）,农业
えんげき,演劇,戏剧,映画（えいが）,电影
えんしゅう,円周,圆周,直径（ちょっけい）,直径
えんそく,遠足,远足,旅行（りょこう）,旅行
えんちょう,延長,延长,短縮（たんしゅく）,缩短
えんとつ,煙突,烟囱,煙（けむり）,烟
おいかける,追い掛ける,追赶,追い越す（おいこす）,超过
おいこす,追い越す,超过,追いつく（おいつく）,追上
オイル,,油,ガソリン,汽油
おうえん,応援,声援，助威,反対（はんたい）,反对
おうじょ,王女,公主,王子（おうじ）,王子
おうずる,応ずる,回应，答应,無視（むし）,无视
おうせつ,応接,接待,拒絶（きょぜつ）,拒绝
おうたい,応対,应对，接待,無視（むし）,无视
おうふく,往復,往返,片道（かたみち）,单程
おうべい,欧米,欧美,アジア,亚洲
おうよう,応用,应用,理論（りろん）,理论
オーケストラ,,管弦乐队,バンド,乐队
おおざっぱ,,粗略，粗糙,細かい（こまかい）,细致
おおどおり,大通り,大街,路地（ろじ）,小巷
オートメーション,,自动化,手動（しゅどう）,手动
オーバーコート,,大衣,コート,外套
おおよそ,大凡,大约，大概,正確（せいかく）,精确
おかえり,お帰り,欢迎回来,行ってらっしゃい（いってらっしゃい）,慢走
おかけください,,请坐,座ってください（すわってください）,请坐
おかげさまで,,托您的福,おかげさまで（おかげさまで）,托您的福
おかず,,配菜,ご飯（ごはん）,米饭
おがむ,拝む,拜，崇拜,無視（むし）,无视
おかわり,お代わり,再来一份，添饭,もういい（もういい）,不用了
おぎなう,補う,补充，弥补,削る（けずる）,削减
おきのどくに,お気の毒に,可怜，同情,おめでとう（おめでとう）,恭喜
おくがい,屋外,室外,屋内（おくない）,室内
おくさん,,夫人，太太,主人（しゅじん）,丈夫
おくりがな,送り仮名,送假名,振り仮名（ふりがな）,注音假名
おこたる,怠る,怠慢，疏忽,勤める（つとめる）,勤勉
おさえる,押える,按住，压制,放す（はなす）,放手
おさきに,,先，预先,後（のち）,后
おさめる,納める,缴纳，收下,出す（だす）,拿出
おさめる,治める,统治，平定,治まる（おさまる）,平定
おしい,惜しい,可惜，遗憾,もったいない（もったいない）,浪费
おじぎ,御辞儀,鞠躬,会釈（えしゃく）,点头
おじさん,伯父さん,伯父,おばさん（おばさん）,阿姨
おじさん,小父さん,大叔,おじさん（おじさん）,大叔
おじさん,叔父さん,叔父,おばさん（おばさん）,阿姨
おしゃれ,,时髦，好打扮,地味（じみ）,朴素
おじゃまします,,打扰了,失礼します（しつれいします）,失礼了
おそわる,教わる,受教，跟...学,教える（おしえる）,教
おだいじに,,请保重,元気で（げんきで）,保重
おちつく,落着く,平静，安定,興奮（こうふん）,兴奋
おてあらい,御手洗,洗手处，洗手池,トイレ,厕所
おでかけ,お出掛け,出门,帰宅（きたく）,回家
おてつだいさん,お手伝いさん,女佣，帮手,主人（しゅじん）,主人
おどかす,,吓唬，威胁,脅す（おどす）,威胁
おとしもの,落し物,失物,拾得物（しゅうとくぶつ）,拾到物
おととい,,前天,昨日（きのう）,昨天
おととし,,前年,去年（きょねん）,去年
おとなしい,,老实，温顺,乱暴（らんぼう）,粗鲁
おどろかす,驚かす,使惊讶，吓一跳,驚く（おどろく）,吃惊
おねがいします,,拜托了,どうも（どうも）,谢谢
おのおの,各々,各自，各个,全部（ぜんぶ）,全部
おばさん,伯母さん,伯母,おじさん（おじさん）,叔叔
おばさん,叔母さん,叔母，中年妇女,おじさん（おじさん）,叔叔
おはよう,,早上好,こんばんは（こんばんは）,晚上好
おまいり,お参り,参拜，去神社,礼拝（れいはい）,礼拜
おまたせしました,,久等了,待たせてすみません（またせてすみません）,久等了
おまちください,,请稍等,お待ちください（おまちください）,请稍等
おまちどおさま,,久等了,待たせてすみません（またせてすみません）,久等了
おめでたい,,可喜可贺,悲しい（かなしい）,悲伤
おもいがけない,思い掛けない,意外，意想不到,予想通り（よそうどおり）,意料之中
おもいこむ,思い込む,深信，确信,疑う（うたがう）,怀疑
おもいっきり,思いっ切り,尽情地，使劲地,少しばかり（すこしばかり）,稍微
おもいつく,思い付く,想到,忘れる（わすれる）,忘记
おもたい,重たい,重,軽い（かるい）,轻
おやすみ,,休息，晚安,おはよう（おはよう）,早上好
おやつ,,点心，零食,食事（しょくじ）,饭
おやゆび,親指,拇指,人差し指（ひとさしゆび）,食指
オルガン,,风琴,ピアノ,钢琴
おろす,卸す,批发,売る（うる）,卖
おんけい,恩恵,恩惠,危害（きがい）,危害
おんしつ,温室,温室,屋外（おくがい）,室外
おんせん,温泉,温泉,プール,泳池
おんたい,温帯,温带,熱帯（ねったい）,热带
おんちゅう,御中,敬启，公启,様（さま）,先生/女士
おんなのひと,女の人,女人,男の人（おとこのひと）,男人
か,蚊,蚊子,ハエ,苍蝇
カーブ,,曲线，弯道,ストレート（すとれーと）,直线
かい,貝,贝类,肉（にく）,肉
かいかい,開会,开会,閉会（へいかい）,闭会
かいかん,会館,会馆,教室（きょうしつ）,教室
かいさつ,改札,检票,改札口（かいさつぐち）,检票口
かいさん,解散,解散,結成（けっせい）,结成
かいすいよく,海水浴,海水浴,水泳（すいえい）,游泳
かいすう,回数,次数,度数（どすう）,度数
かいすうけん,回数券,回数券,定期券（ていきけん）,定期票
かいせい,改正,修订，改正,改悪（かいあく）,改坏
かいせい,快晴,晴朗,悪天候（あくてんこう）,坏天气
かいせつ,解説,解说，说明,紹介（しょうかい）,介绍
かいぞう,改造,改造，改建,建設（けんせつ）,建设
かいつう,開通,通车，开通,不通（ふつう）,不通
かいてん,回転,旋转，转动,停止（ていし）,停止
かいとう,解答,解答,問題（もんだい）,问题
かいとう,回答,回答,質問（しつもん）,问题
がいぶ,外部,外部,内部（ないぶ）,内部
かいほう,解放,解放,束縛（そくばく）,束缚
かいほう,開放,开放,封鎖（ふうさ）,封锁
かいよう,海洋,海洋,陸地（りくち）,陆地
がいろん,概論,概论,各論（かくろん）,各论
かえす,帰す,让回去,呼ぶ（よぶ）,叫来
かえって,却って,反而，反倒,当然（とうぜん）,当然
かえる,代える,交换，替换,替える（かえる）,替换
かえる,反る,弯曲，翘,曲がる（まがる）,弯曲
かおく,家屋,房屋，房子,家（いえ）,家
かかわる,係わる,涉及，关系到,関係ない（かんけいない）,没关系
かきとめ,書留,挂号,普通郵便（ふつうゆうびん）,平信
かきとり,書取,听写,書く（かく）,写
かきね,垣根,篱笆，隔阂,壁（かべ）,墙
かく,掻く,挠，抓,撫でる（なでる）,抚摸
かぐ,嗅ぐ,闻,見る（みる）,看
かくう,架空,架空，虚构,実在（じつざい）,实在
かくじ,各自,各自，各个,全体（ぜんたい）,全体
かくじゅう,拡充,扩充,縮小（しゅくしょう）,缩小
がくじゅつ,学術,学术,技術（ぎじゅつ）,技术
かくち,各地,各地，到处,一箇所（いっかしょ）,一处
かくちょう,拡張,扩张,縮小（しゅくしょう）,缩小
かくど,角度,角度,方向（ほうこう）,方向
がくねん,学年,学年,学期（がっき）,学期
がくぶ,学部,学院，系,大学院（だいがくいん）,研究生院
かくべつ,格別,格外，特别,普通（ふつう）,普通
かくりつ,確率,概率，几率,不可能（ふかのう）,不可能
がくりょく,学力,学力,能力（のうりょく）,能力
かけざん,掛け算,乘法,足し算（たしざん）,加法
かけつ,可決,通过,否決（ひけつ）,否决
かこう,火口,火山口,山頂（さんちょう）,山顶
かこう,下降,下降,上昇（じょうしょう）,上升
かさなる,重なる,重叠,別々（べつべつ）,分开
かさねる,重ねる,重叠，堆叠,重ならない（かさならない）,不重叠
かざり,飾り,装饰,実用的（じつようてき）,实用
かざん,火山,火山,山（やま）,山
かしこまりました,,好的，明白了,分かりました（わかりました）,明白了
かしだし,貸し出し,借出,返却（へんきゃく）,归还
かしつ,過失,过失，过错,故意（こい）,故意
かじつ,果実,果实,野菜（やさい）,蔬菜
かしま,貸間,出租房间,貸家（かしや）,出租房屋
かしや,貸家,出租房屋,持ち家（もちいえ）,自住房
かしょ,個所,部分，地方,全体（ぜんたい）,全体
かじょう,過剰,过剩,不足（ぶそく）,不足
かじる,,啃，咬,食べる（たべる）,吃
かぜい,課税,课税,免税（めんぜい）,免税
かせん,下線,下划线,上線（じょうせん）,上线
カセット,,卡带,CD,光盘
かそく,加速,加速,減速（げんそく）,减速
かそくど,加速度,加速度,速度（そくど）,速度
かたい,固い,硬，坚固,軟らかい（やわらかい）,软
かたい,堅い,坚实，牢固,脆い（もろい）,脆
かたかな,片仮名,片假名,平仮名（ひらがな）,平假名
かたづく,片付く,整理好，解决,散らかる（ちらかる）,杂乱
かたまり,塊,块，块状,粉末（ふんまつ）,粉末
かたまる,固まる,凝固，凝固状,溶ける（とける）,融化
かたみち,片道,单程,往復（おうふく）,往返
かたむく,傾く,倾斜,直立（ちょくりつ）,直立
かたよる,片寄る,偏颇，偏向,公平（こうへい）,公平
がっか,学科,学科,科目（かもく）,科目
がっかい,学会,学会,研究会（けんきゅうかい）,研究会
がっき,楽器,乐器,音楽（おんがく）,音乐
がっきゅう,学級,班级,学年（がくねん）,学年
かつぐ,担ぐ,扛，挑,置く（おく）,放
かっこ,括弧,括号,引用（いんよう）,引用
かつじ,活字,铅字,フォント,字体
かつやく,活躍,活跃,不活発（ふかっぱつ）,不活跃
かつりょく,活力,活力,無気力（むきりょく）,无气力
かてい,仮定,假定,確定（かくてい）,确定
かてい,過程,过程,結果（けっか）,结果
かてい,課程,课程,授業（じゅぎょう）,上课
かな,仮名,假名,漢字（かんじ）,汉字
かなづかい,仮名遣い,假名用法,発音（はつおん）,发音
かね,鐘,钟，钟声,鐘（かね）,钟
かねつ,加熱,加热,冷却（れいきゃく）,冷却
かねる,兼ねる,兼有，兼任,専任（せんにん）,专职
カバー,,封面，覆盖,本（ほん）,书
かはんすう,過半数,过半数,半数以下（はんすういか）,半数以下
かぶせる,被せる,盖上，披上,脱ぐ（ぬぐ）,脱
かま,釜,锅，锅,鍋（なべ）,锅
かみくず,紙屑,废纸,紙（かみ）,纸
かみさま,神様,神,仏（ほとけ）,佛
かみそり,剃刀,剃刀,ハサミ,剪刀
ガム,,口香糖,飴（あめ）,糖果
かもつ,貨物,货物,旅客（りょかく）,旅客
かゆい,,痒,痛い（いたい）,痛
かよう,歌謡,歌谣,流行歌（りゅうこうか）,流行歌曲
から,殻,壳，外壳,中身（なかみ）,内容
カラー,,颜色，领子,白（しろ）,白色
からかう,,戏弄，逗弄,怒る（おこる）,生气
からっぽ,空っぽ,空,満たす（みたす）,满
かるた,,纸牌,トランプ,扑克牌
かれる,枯れる,枯萎，枯干,茂る（しげる）,茂盛
カロリー,,卡路里,栄養（えいよう）,营养
かわいがる,,疼爱，喜爱,嫌う（きらう）,讨厌
かわかす,乾かす,弄干，晒干,濡れる（ぬれる）,弄湿
かわく,渇く,口渴,満たす（みたす）,解渴
かわせ,為替,汇兑，汇票,現金（げんきん）,现金
かわら,瓦,瓦,屋根（やね）,屋顶
かわる,代る,代替，取代,変わる（かわる）,改变
かんかく,間隔,间隔，距离,接触（せっしょく）,接触
かんき,換気,通风,密閉（みっぺい）,密闭
かんげき,感激,感动,無関心（むかんしん）,不关心
かんさい,関西,关西,関東（かんとう）,关东
かんしょう,鑑賞,鉴赏,批評（ひひょう）,批评
かんずる,感ずる,感觉,感じる（かんじる）,感觉
かんせつ,間接,间接,直接（ちょくせつ）,直接
かんそう,乾燥,干燥,湿気（しっけ）,潮湿
かんそう,感想,感想,感想（かんそう）,感想
かんそく,観測,观测,予測（よそく）,预测
かんたい,寒帯,寒带,温帯（おんたい）,温带
かんちょう,官庁,官厅，政府机关,民間（みんかん）,民间
かんちがい,勘違い,误会,理解（りかい）,理解
かんづめ,缶詰,罐头,生鮮（せいせん）,新鲜
かんでんち,乾電池,干电池,充電池（じゅうでんち）,充电电池
かんとう,関東,关东,関西（かんさい）,关西
かんねん,観念,观念,思想（しそう）,思想
かんぱい,乾杯,干杯,空っぽ（からっぽ）,空
かんばん,看板,招牌，招牌,表示（ひょうじ）,表示
かんびょう,看病,看护,介護（かいご）,护理
かんむり,冠,冠冕，冠军,準優勝（じゅんゆうしょう）,亚军
かんわ,漢和,汉和,和英（わえい）,和英
きあつ,気圧,气压,真空（しんくう）,真空
きかい,器械,器械,装置（そうち）,装置
きがえ,着替え,换衣服,着替え（きがえ）,换衣服
きかんしゃ,機関車,火车，机车,列車（れっしゃ）,列车
ききん,飢饉,饥荒,豊作（ほうさく）,丰收
きぐ,器具,器具,道具（どうぐ）,工具
きげん,期限,期限,延長（えんちょう）,延长
きごう,記号,记号,符号（ふごう）,符号
きざむ,刻む,切碎，雕刻,刻む（きざむ）,切碎
ぎしき,儀式,仪式,典礼（てんれい）,典礼
きじゅん,基準,基准，标准,例外（れいがい）,例外
きじゅん,規準,基准，标准,不揃い（ふぞろい）,不整齐
きしょう,起床,起床,就寝（しゅうしん）,就寝
きせる,着せる,给...穿上,脱ぐ（ぬぐ）,脱
きそ,基礎,基础,応用（おうよう）,应用
きたい,気体,气体,液体（えきたい）,液体
きち,基地,基地,拠点（きょてん）,据点
きっかけ,,机会，契机,成功（せいこう）,成功
ぎっしり,,满满地,空っぽ（からっぽ）,空
きばん,基盤,基础，基盘,基本（きほん）,基本
きゃくせき,客席,观众席,舞台（ぶたい）,舞台
きゃくま,客間,客房,寝室（しんしつ）,寝室
ギャング,,帮派，团伙,警察（けいさつ）,警察
キャンパス,,校园,教室（きょうしつ）,教室
きゅうぎょう,休業,停业，休业,営業（えいぎょう）,营业
きゅうこう,休講,停课,開講（かいこう）,开课
きゅうそく,休息,休息,仕事（しごと）,工作
きゅうよ,給与,津贴，薪金,給料（きゅうりょう）,薪水
きゅうよう,休養,休养,療養（りょうよう）,疗养
きよい,清い,清澈，纯洁,濁い（にごい）,浑浊
きょうか,強化,强化,弱化（じゃっか）,弱化
きょうかい,境界,边界，界限,範囲（はんい）,范围
ぎょうじ,行事,活动，仪式,日常（にちじょう）,日常
きょうしゅく,恐縮,惶恐,厚意（こうい）,厚意
きょうよう,教養,教养,学力（がくりょく）,学力
ぎょうれつ,行列,排长队，行列,行列（ぎょうれつ）,行列
ぎょぎょう,漁業,渔业,農業（のうぎょう）,农业
きょくせん,曲線,曲线,直線（ちょくせん）,直线
きりつ,規律,纪律,無秩序（むちつじょ）,无秩序
きる,斬る,砍，斩,切る（きる）,切
きをつける,気を付ける,小心，注意,不注意（ふちゅうい）,不注意
きんぎょ,金魚,金鱼,鯉（こい）,鲤鱼
くいき,区域,区域，地域,全域（ぜんいき）,全域
ぐうすう,偶数,偶数,奇数（きすう）,奇数
くうそう,空想,空想,実現（じつげん）,实现
くうちゅう,空中,空中,地上（ちじょう）,地上
クーラー,,空调，冷气,暖房（だんぼう）,暖气
くぎ,釘,钉,ネジ,螺丝
くぎる,区切る,分段，划分,結合（けつごう）,结合
くし,櫛,梳子,ブラシ,刷子
くしゃみ,,打喷嚏,くしゃみ（くしゃみ）,打喷嚏
くじょう,苦情,抱怨，投诉,感謝（かんしゃ）,感谢
くしん,苦心,费心，操心,楽（らく）,轻松
くず,屑,废料，垃圾,宝物（たからもの）,宝物
くずす,崩す,拆毁，打破,作る（つくる）,做
くすりゆび,薬指,无名指,親指（おやゆび）,拇指
くずれる,崩れる,崩塌，崩溃,建てる（たてる）,建造
くだく,砕く,打碎，砸坏,作る（つくる）,制作
くだける,砕ける,破碎，打碎,壊れない（こわれない）,不坏
くたびれる,,累，疲劳,元気（げんき）,精神
くだらない,,无聊，没用,重要（じゅうよう）,重要
くだる,下る,下去，降下,上る（あがる）,上去
くちびる,唇,嘴唇,鼻（はな）,鼻子
くちべに,口紅,口红,マスカラ,睫毛膏
くっつく,,紧贴，靠拢,離れる（はなれる）,离开
くっつける,,粘贴，安装,外す（はずす）,取下
くどい,,冗长，啰嗦,簡潔（かんけつ）,简洁
くとうてん,句読点,标点,読点（とうてん）,读点
くばる,配る,分发，分配,集める（あつめる）,收集
くふう,工夫,办法，巧思,無策（むさく）,无策
くぶん,区分,区分，分类,統合（とうごう）,统一
くみあわせ,組合せ,组合,個別（こべつ）,分别
くみたてる,組み立てる,组装，装配,分解（ぶんかい）,分解
くむ,汲む,打水，领会,注ぐ（そそぐ）,注入
くむ,酌む,斟酒,飲む（のむ）,喝
くやしい,悔しい,遗憾，懊悔,嬉しい（うれしい）,高兴
くやむ,悔やむ,哀悼，悔恨,喜ぶ（よろこぶ）,欢喜
クリーニング,,洗衣，干洗,洗濯（せんたく）,洗衣
くるむ,,卷入，包围,抜ける（ぬける）,拔出
くれぐれも,,反复，务必,一度（いちど）,一次
くわえる,咥える,衔，含む,吐く（はく）,吐出
ぐん,郡,郡,市（し）,市
けいこ,稽古,练习，排练,学習（がくしゅう）,学习
けいご,敬語,敬语,丁寧（ていねい）,礼貌
けいこうとう,蛍光灯,日光灯,電球（でんきゅう）,灯泡
けいしき,形式,形式,内容（ないよう）,内容
けいぞく,継続,继续,中断（ちゅうだん）,中断
けいと,毛糸,毛线,綿（わた）,棉花
けいど,経度,经度,緯度（いど）,纬度
けいとう,系統,系统,個別（こべつ）,分别
げいのう,芸能,文艺娱乐,芸術（げいじゅつ）,艺术
けいば,競馬,赛马,競輪（けいりん）,竞轮
けいび,警備,警备，安保,危険（きけん）,危险
けいようし,形容詞,形容词,動詞（どうし）,动词
けいようどうし,形容動詞,形容动词,副詞（ふくし）,副词
げか,外科,外科,内科（ないか）,内科
けがわ,毛皮,毛皮,皮革（ひかく）,皮革
げきぞう,激増,激增,減少（げんしょう）,减少
げしゃ,下車,下车,乗車（じょうしゃ）,上车
げじゅん,下旬,下旬,上旬（じょうじゅん）,上旬
げすい,下水,下水,上水（じょうすい）,上水
けずる,削る,削，减少,増やす（ふやす）,增加
けた,桁,位数，梁,数字（すうじ）,数字
げた,下駄,木屐,靴（くつ）,鞋
けつあつ,血圧,血压,脈拍（みゃくはく）,脉搏
けつえき,血液,血液,体液（たいえき）,体液
げっきゅう,月給,月薪,日給（にっきゅう）,日薪
けっさく,傑作,杰作,凡作（ぼんさく）,平凡作品
げつまつ,月末,月末,月初（げっしょ）,月初
けはい,気配,迹象，苗头,予感（よかん）,预感
げひん,下品,下流，低俗,上品（じょうひん）,高雅
けむい,煙い,烟熏，烟雾,無臭（むしゅう）,无臭
ける,蹴る,踢,踏む（ふむ）,踩
けわしい,険しい,险峻，严厉,平坦（へいたん）,平坦
けんがく,見学,参观，见习,研修（けんしゅう）,研修
けんきょ,謙虚,谦虚,傲慢（ごうまん）,傲慢
げんこう,原稿,原稿,清書（せいしょ）,誊写
げんさん,原産,原产，产地,輸入（ゆにゅう）,进口
げんし,原始,原始,現代（げんだい）,现代
けんしゅう,研修,研修,学習（がくしゅう）,学习
げんじゅう,厳重,严格，严厉,緩和（かんわ）,缓和
けんそん,謙遜,谦逊,驕慢（きょうまん）,骄慢
けんちょう,県庁,县厅,市役所（しやくしょ）,市政府
げんど,限度,限度,無限（むげん）,无限
げんに,現に,实际，真正,架空（かくう）,架空
けんびきょう,顕微鏡,显微镜,望遠鏡（ぼうえんきょう）,望远镜
げんり,原理,原理,応用（おうよう）,应用
げんりょう,原料,原料,製品（せいひん）,产品
ご,碁,围棋,将棋（しょうぎ）,将棋
こいしい,恋しい,思念，爱慕,憎い（にくい）,可恨
こう,請う,请求，恳求,与える（あたえる）,给予
こういん,工員,工人,職員（しょくいん）,职员
ごういん,強引,强硬，强行,丁寧（ていねい）,温和
こうがい,公害,公害,環境保護（かんきょうほご）,环境保护
こうきゅう,高級,高级,低級（ていきゅう）,低级
こうきょう,公共,公共,民間（みんかん）,民间
こうげい,工芸,工艺,美術（びじゅつ）,美术
こうこう,孝行,孝顺,不孝（ふこう）,不孝
こうさ,交差,交叉,平行（へいこう）,平行
こうし,講師,讲师,教授（きょうじゅ）,教授
