假名,日语汉字,中文翻译,容易混淆的单词,混淆词翻译
きょうだい,兄弟,兄弟姐妹,ふうふ,夫妇
きょねん,去年,去年,ことし,今年
きらい,嫌い,讨厌的,すき,喜欢
きる,切る,切,わる,弄碎
きる,着る,穿（上身）,はく,穿（下身）
きれい,綺麗,漂亮的；干净的,きたない,脏的
キログラム,,公斤,グラム,克
キロメートル,,公里,メートル,米
ぎんこう,銀行,银行,ゆうびんきょく,邮局
きんようび,金曜日,星期五,もくようび,星期四
く,九,九,しち,七
くすり,薬,药,おかし,点心
ください,,请给我,どうぞ,请
くだもの,果物,水果,やさい,蔬菜
くち,口,嘴,め,眼睛
くつ,靴,鞋,くつした,袜子
くつした,靴下,袜子,くつ,鞋
くに,国,国家,まち,城市
くもり,曇り,阴天,はれ,晴天
くらい,暗い,昏暗的,あかるい,明亮的
クラス,,班级,グループ,小组
グラム,,克,キログラム,公斤
くる,来る,来,いく,去
くるま,車,车,じてんしゃ,自行车
くろい,黒い,黑色的,しろい,白色的
けさ,今朝,今天早上,こんばん,今天晚上
けす,消す,关掉；消除,つける,打开
けっこう,結構,很好；足够,まあまあ,还行
けっこん,結婚,结婚,りこん,离婚
げつようび,月曜日,星期一,かようび,星期二
げんかん,玄関,玄关,ろうか,走廊
げんき,元気,健康的；有精神的,びょうき,生病的
こ,～個,～个（量词）,～ほん,～支（量-）
ご,五,五,ろく,六
～ご,～語,～语,～じん,～人
こうえん,公園,公园,にわ,庭院
こうさてん,交差点,十字路口,どうろ,道路
こうちゃ,紅茶,红茶,おちゃ,茶
こうばん,交番,派出所,けいさつ,警察
こえ,声,声音（人、动物）,おと,声音（物体）
コート,,大衣,セーター,毛衣
コーヒー,,咖啡,こうちゃ,红茶
ここ,,这里,あそこ,那里
ごご,午後,下午,ごぜん,上午
ここのか,九日,九号；九天,ようか,八号
ここのつ,九つ,九个,やっつ,八个
ごしゅじん,ご主人,（别人的）丈夫,おっと,（自己的）丈夫
ごぜん,午前,上午,ごご,下午
こたえる,答える,回答,しつもんする,提问
こちら,,这边（礼貌）,そちら,那边（礼-）
コップ,,杯子,おさら,盘子
ことし,今年,今年,きょねん,去年
ことば,言葉,词；语言,ぶん,句子
こども,子供,孩子,おとな,大人
この,,这个（近）,その,那个（中）
ごはん,ご飯,米饭；饭,パン,面包
コピーする,,复印,うつす,抄写
こまる,困る,为难；困扰,たすける,帮助
これ,,这个,あれ,那个
こんげつ,今月,这个月,せんげつ,上个月
こんしゅう,今週,这周,せんしゅう,上周
こんな,,这样的,そんな,那样的
こんばん,今晩,今晚,きょう,今天
さあ,,喂；来（催促）,ええと,嗯...（思考）
さいふ,財布,钱包,かばん,包
さかな,魚,鱼,にく,肉
さき,先,先；前面,あと,后；后面
さくぶん,作文,作文,にっき,日记
さす,差す,打（伞）,もつ,拿
ざっし,雑誌,杂志,しんぶん,报纸
さとう,砂糖,砂糖,しお,盐
さむい,寒い,寒冷的（天气）,あつい,炎热的（天气）
さらいねん,再来年,后年,らいねん,明年
さん,三,三,よん,四
さんぽ,散歩,散步,かいもの,购物
し,四,四,さん,三
じ,～時,～点钟,ふん,～分钟
しお,塩,盐,さとう,砂糖
しかし,,但是,だから,所以
じかん,時間,时间,とき,时候
しごと,仕事,工作,やすみ,休息
じしょ,辞書,词典,ほん,书
しずか,静か,安静的,にぎやか,热闹的
した,下,下面,うえ,上面
しち,七,七,はち,八
しつもん,質問,问题,こたえ,回答
じてんしゃ,自転車,自行车,バス,公交车
じどうしゃ,自動車,汽车,でんしゃ,电车
しぬ,死ぬ,死,うまれる,出生
じびき,字引,字典,じしょ,词典
じぶん,自分,自己,たにん,他人
しまる,閉まる,关闭（自）,あく,打开（自）
しめる,閉める,关闭（他）,あける,打开（他）
しめる,締める,系（领带等）,とる,解开
じゃあ,,那么,では,那么（正式）
しゃしん,写真,照片,え,画
シャツ,,衬衫,ズボン,裤子
シャワー,,淋浴,おふろ,泡澡
じゅう,十,十,ひゃく,百
しゅう,～週,～周,げつ,～月
じゅぎょう,授業,授课；课程,しゅくだい,作业
しゅくだい,宿題,作业,ふくしゅう,复习
じょうず,上手,擅长,へた,不擅长
じょうぶ,丈夫,结实的,よわい,脆弱的
しょうゆ,醤油,酱油,ソース,酱汁
しょくどう,食堂,食堂,キッチン,厨房
しる,知る,知道,わかる,明白
しろい,白い,白色的,くろい,黑色的
しんぶん,新聞,报纸,ざっし,杂志
すいようび,水曜日,星期三,かようび,星期二
すう,吸う,吸（烟）,はく,吐出
スカート,,裙子,ワンピース,连衣裙
すき,好き,喜欢,きらい,讨厌
すくない,少ない,少的,おおい,多的
すぐに,,马上,ゆっくり,慢慢地
すこし,少し,一点；少许,たくさん,很多
すずしい,涼しい,凉爽的,あたたかい,温暖的
～ずつ,,每～,ぜんぶ,全部
ストーブ,,炉子,エアコン,空调
スプーン,,勺子,フォーク,叉子
スポーツ,,体育；运动,うんどう,运动
ズボン,,裤子,スカート,裙子
すむ,住む,居住,ひっこす,搬家
スリッパ,,拖鞋,くつ,鞋
する,,做,みる,看
すわる,座る,坐,たつ,站
せい,背,个子,かた,肩膀
せいと,生徒,学生（初高中）,がくせい,学生（大学）
セーター,,毛衣,シャツ,衬衫
せっけん,石鹸,香皂,シャンプー,洗发水
せびろ,背広,西装,スーツ,西装(套装)
せまい,狭い,狭窄的,ひろい,宽敞的
ゼロ,,零,れい,零
せん,千,千,まん,万
せんげつ,先月,上个月,こんげつ,这个月
せんしゅう,先週,上周,こんしゅう,这周
せんせい,先生,老师,がくせい,学生
せんたく,洗濯,洗衣服,そうじ,打扫
ぜんぶ,全部,全部,はんぶん,一半
そうじ,掃除,打扫,かたづけ,整理
そうして,,然后,そして,然后
そこ,,那里（中）,ここ,这里
そちら,,那边（礼貌）,こちら,这边（礼-）
そと,外,外面,うち,里面
その,,那个（中）,あの,那个（远）
そば,側,旁边,となり,隔壁
そら,空,天空,ちきゅう,地球
それ,,那个（中）,これ,这个
それから,,然后,では,那么
そろそろ,,差不多该,もう,已经
だいがく,大学,大学,こうこう,高中
たいしかん,大使館,大使馆,りょうじかん,领事馆
だいじょうぶ,大丈夫,没关系；可以,だめ,不行
だいすき,大好き,非常喜欢,だいきらい,非常讨厌
たいせつ,大切,重要的,むだ,没用的
だいどころ,台所,厨房,へや,房间
たいへん,大変,非常；够呛的,らく,轻松的
たかい,高い,高的；贵的,ひくい,低的
たかい,高い,高的；贵的,やすい,便宜的
たくさん,,很多,すこし,少许
タクシー,,出租车,バス,公交车
だす,出す,拿出；寄出,いれる,放入
たつ,立つ,站立,すわる,坐下
たて,縦,竖,よこ,横
たてもの,建物,建筑物,ばしょ,场所
たのしい,楽しい,快乐的,かなしい,悲伤的
たのむ,頼む,请求；拜托,ことわる,拒绝
たばこ,,香烟,ひ,火
たぶん,,大概,きっと,一定
たべもの,食べ物,食物,のみもの,饮料
たべる,食べる,吃,のむ,喝
たまご,卵,鸡蛋,とり,鸡
だれ,誰,谁,どなた,哪位（礼-）
たんじょうび,誕生日,生日,クリスマス,圣诞节
だんだん,,渐渐地,きゅうに,突然
ちいさい,小さい,小的,おおきい,大的
ちかい,近い,近的,とおい,远的
ちがう,違う,不同；不对,おなじ,相同
ちかく,近く,附近,となり,隔壁
ちかてつ,地下鉄,地铁,でんしゃ,电车
ちず,地図,地图,みち,路
ちち,父,爸爸（自己）,おとうさん,爸爸（别人）
ちゃいろ,茶色,茶色,みどり,绿色
ちゃわん,茶碗,饭碗,ゆのみ,茶杯
～ちゅう,～中,～中,～まえ,～前
ちょうど,,正好,だいたい,大概
ちょっと,,稍微,たくさん,许多
ついたち,一日,一号,ふつか,二号
つかう,使う,使用,なおす,修理
つかれる,疲れる,疲劳,やすむ,休息
つぎ,次,下一个,さいご,最后一个
つく,着く,到达,でる,出发
つくえ,机,桌子,いす,椅子
つくる,作る,制作,こわす,弄坏
つける,点ける,打开（灯等）,けす,关掉
つとめる,勤める,工作；任职,やめる,辞职
つまらない,,无聊的,おもしろい,有趣的
つめたい,冷たい,凉的（触感）,あたたかい,温暖的（触感）
つよい,強い,强的,よわい,弱的
て,手,手,あし,脚
テープ,,磁带,CD,光盘
テープレコーダー,,录音机,ラジオ,收音机
テーブル,,桌子；餐桌,つくえ,书桌
でかける,出かける,出门,かえる,回家
てがみ,手紙,信,はがき,明信片
できる,,能；会,できない,不能；不会
でぐち,出口,出口,いりぐち,入口
テスト,,测验,しけん,考试
では,,那么,じゃ,那么（口语）
デパート,,百货公司,スーパー,超市
でも,,但是,しかし,但是
でる,出る,出去；离开,はいる,进入
テレビ,,电视,えいが,电影
てんき,天気,天气,きおん,气温
でんき,電気,电；电灯,ガス,煤气
でんしゃ,電車,电车,くるま,汽车
でんわ,電話,电话,けいたいでんわ,手机
と,戸,门,まど,窗户
ど,～度,～度,～かい,～次
トイレ,,厕所,おてあらい,洗手间
どう,,怎么样,いかが,怎么样（礼-）
どうして,,为什么,なぜ,为什么
どうぞ,,请,ありがとう,谢谢
どうぶつ,動物,动物,しょくぶつ,植物
どうも,,非常（感谢/抱歉）,すみません,对不起
とお,十,十个,ここのつ,九个
とおい,遠い,远的,ちかい,近的
とおか,十日,十号；十天,はつか,二十号
ときどき,時々,有时,いつも,总是
とけい,時計,钟表,じかん,时间
どこ,,哪里,どちら,哪边（礼-）
ところ,所,地方；场所,ばしょ,场所
とし,年,年；岁数,つき,月
としょかん,図書館,图书馆,ほんや,书店
どちら,,哪边（礼貌）,どっち,哪边（口语）
とぶ,飛ぶ,飞,はしる,跑
とまる,止まる,停止,うごく,动
ともだち,友達,朋友,かぞく,家人
どようび,土曜日,星期六,にちようび,星期日
とり,鳥,鸟,さかな,鱼
とりにく,鶏肉,鸡肉,ぎゅうにく,牛肉
とる,取る,拿；取,おく,放
とる,撮る,拍照,みる,看
どれ,,哪个（三者以上）,どちら,哪个（两者）
どんな,,什么样的,どの,哪个
ない,無い,没有,ある,有
ナイフ,,刀,フォーク,叉子
なか,中,里面,そと,外面
ながい,長い,长的,みじかい,短的
なく,鳴く,鸣叫（动物）,なく,哭泣（人）
なくす,無くす,弄丢,みつける,找到
なぜ,,为什么,どうして,为什么
なつ,夏,夏天,ふゆ,冬天
なつやすみ,夏休み,暑假,ふゆやすみ,寒假
など,,等等,ほか,其他
なな,七,七,はち,八
ななつ,七つ,七个,やっつ,八个
なに,何,什么,なん,什么
なのか,七日,七号；七天,ようか,八号
なまえ,名前,名字,みょうじ,姓
ならう,習う,学习（从师）,まなぶ,学习（自学）
ならぶ,並ぶ,排列,ならべる,使...排列
なる,,变成,かえる,改变
に,二,二,さん,三
にぎやか,賑やか,热闹的,しずか,安静的
にく,肉,肉,やさい,蔬菜
にし,西,西,ひがし,东
にちようび,日曜日,星期日,どようび,星期六
にもつ,荷物,行李,てにもつ,手提行李
ニュース,,新闻,しんぶん,报纸
にわ,庭,院子,こうえん,公园
ぬぐ,脱ぐ,脱（衣、鞋）,きる,穿
ネクタイ,,领带,ベルト,皮带
ねこ,猫,猫,いぬ,狗
ねる,寝る,睡觉,おきる,起床
ねん,～年,～年,がつ,～月
ノート,,笔记本,ほん,书
のぼる,登る,攀登,おりる,下来
のみもの,飲み物,饮料,たべもの,食物
のむ,飲む,喝,たべる,吃
のる,乗る,乘坐,おりる,下车
は,歯,牙齿,くち,嘴
パーティー,,派对,かいぎ,会议
はい,,是,いいえ,不
はいざら,灰皿,烟灰缸,たばこ,香烟
はいる,入る,进入,でる,出去
はがき,葉書,明信片,てがみ,信
はく,履く,穿（下身）,ぬぐ,脱
はこ,箱,箱子,ふくろ,袋子
はし,橋,桥,どうろ,道路
はし,箸,筷子,スプーン,勺子
はじまる,始まる,开始（自）,おわる,结束（自）
はじめ,初め,开始,おわり,结束
はじめて,初めて,初次,いつも,总是
はしる,走る,跑,あるく,走
バス,,公交车,タクシー,出租车
バター,,黄油,ジャム,果酱
はたち,二十歳,二十岁,にじゅっさい,二十岁
はたらく,働く,工作,やすむ,休息
はち,八,八,きゅう,九
はつか,二十日,二十号,とおか,十号
はな,花,花,くさ,草
はな,鼻,鼻子,みみ,耳朵
はなす,話す,说话,きく,听
はは,母,妈妈（自己）,おかあさん,妈妈（别人）
はやい,早い,早的,おそい,晚的
はやい,速い,快的,おそい,慢的
はる,春,春天,あき,秋天
はる,貼る,粘贴,はがす,撕下
はれ,晴れ,晴天,くもり,阴天
ばん,～番,～号,～ばん,～晚
パン,,面包,ごはん,米饭
ハンカチ,,手帕,タオル,毛巾
ばんごう,番号,号码,じゅんばん,顺序
ばんごはん,晩ご飯,晚饭,あさごはん,早饭
はんぶん,半分,一半,ぜんぶ,全部
ひ,日,太阳；天,つき,月亮
ひ,火,火,みず,水
ピアノ,,钢琴,バイオリン,小提琴
ひく,弾く,弹（弦乐器）,ふく,吹（管乐器）
ひく,引く,拉；查（字典）,おす,推
ひくい,低い,低的,たかい,高的
ひこうき,飛行機,飞机,ふね,船
ひだり,左,左,みぎ,右
ひと,人,人,どうぶつ,动物
ひとつ,一つ,一个,ふたつ,两个
ひとり,一人,一个人,ふたり,两个人
ひま,暇,空闲,いそがしい,忙碌
ひゃく,百,百,せん,千
びょういん,病院,医院,いしゃ,医生
びょうき,病気,疾病,げんき,健康
ひらがな,平仮名,平假名,かたかな,片假名
ひる,昼,白天,よる,夜晚
ひるごはん,昼ご飯,午饭,ばんごはん,晚饭
ひろい,広い,宽敞的,せまい,狭窄的
フィルム,,胶卷,カメラ,相机
ふうとう,封筒,信封,びんせん,信纸
フォーク,,叉子,スプーン,勺子
ふく,吹く,吹,すう,吸
ふく,服,衣服,くつ,鞋
ふたつ,二つ,两个,みっつ,三个
ぶたにく,豚肉,猪肉,ぎゅうにく,牛肉
ふたり,二人,两个人,さんにん,三个人
ふつか,二日,二号；两天,みっか,三号
ふとい,太い,粗的,ほそい,细的
ふゆ,冬,冬天,なつ,夏天
ふる,降る,下（雨、雪）,やむ,停
ふるい,古い,旧的,あたらしい,新的
ふろ,風呂,澡盆,シャワー,淋浴
ぶん,～分,～分钟,じ,～点钟
ページ,,页,さつ,册
へた,下手,不擅长,じょうず,擅长
ベッド,,床,ふとん,被褥
ペット,,宠物,どうぶつ,动物
へや,部屋,房间,いえ,家
へん,辺,一带；附近,あたり,附近
ペン,,笔,えんぴつ,铅笔
べんきょう,勉強,学习,しけん,考试
べんり,便利,方便,ふべん,不便
ほう,～方,～方,～がわ,～边
ぼうし,帽子,帽子,かさ,伞
ボールペン,,圆珠笔,まんねんひつ,钢笔
ほか,,其他,おなじ,一样
ポケット,,口袋,さいふ,钱包
ほしい,欲しい,想要的,いらない,不想要的
ほそい,細い,细的,ふとい,粗的
ボタン,,按钮；纽扣,ファスナー,拉链
ホテル,,酒店,りょかん,旅馆
ほん,本,书,ざっし,杂志
ほん,～本,～支（量词）,～さつ,～册（量-）
ほんだな,本棚,书架,つくえ,书桌
ほんとう,本当,真的,うそ,假的
まい,～枚,～张（量词）,～だい,～台（量-）
まいあさ,毎朝,每天早上,まいばん,每天晚上
まいげつ,毎月,每月,まいしゅう,每周
まいしゅう,毎週,每周,まいにち,每天
まいにち,毎日,每天,まいあさ,每天早上
まいねん,毎年,每年,まいげつ,每月
まいばん,毎晩,每晚,まいにち,每天
まえ,前,前面；以前,うしろ,后面
まがる,曲がる,拐弯,まっすぐいく,直走
まずい,不味い,难吃的,おいしい,好吃的
また,,又；再,もう,已经
まだ,,还；尚未,もう,已经
まち,町,城镇,むら,村庄
まつ,待つ,等待,いく,去
まっすぐ,,笔直地,まがる,拐弯
まど,窓,窗户,ドア,门
まるい,丸い,圆的,しかくい,方的
まん,万,万,おく,亿
まんねんひつ,万年筆,钢笔,ボールペン,圆珠笔
みがく,磨く,刷（牙）；擦亮,あらう,洗
みぎ,右,右,ひだり,左
みじかい,短い,短的,ながい,长的
みず,水,水,おゆ,热水
みせ,店,店,デパート,百货公司
みせる,見せる,给...看,みる,看
みち,道,路,こうさてん,十字路口
みっか,三日,三号；三天,よっか,四号
みっつ,三つ,三个,よっつ,四个
みどり,緑,绿色,あお,蓝色
みなさん,皆さん,大家,みんな,大家
みなみ,南,南,きた,北
みみ,耳,耳朵,はな,鼻子
みる,見る,看,きく,听
みんな,,大家,ぜんいん,全员
むいか,六日,六号；六天,なのか,七号
むこう,向こう,对面,こちら,这边
むずかしい,難しい,难的,やさしい,简单的
むっつ,六つ,六个,ななつ,七个
め,目,眼睛,くち,嘴
メートル,,米,センチ,厘米
めがね,眼鏡,眼镜,サングラス,太阳镜
もう,,已经,まだ,还没
もういちど,もう一度,再一次,さいごに,最后
もくようび,木曜日,星期四,すいようび,星期三
もしもし,,喂（电话用语）,こんにちは,你好
もつ,持つ,拿；持有,おく,放
もっと,,更加,すこし,少许
もの,物,东西,こと,事情
もん,門,门,げんかん,玄关
もんだい,問題,问题,しつもん,提问
や,～屋,～店,～や,～和～
やおや,八百屋,蔬菜店,さかなや,鱼店
やさい,野菜,蔬菜,くだもの,水果
やさしい,易しい,容易的,むずかしい,困难的
やさしい,優しい,温柔的,きびしい,严格的
やすい,安い,便宜的,たかい,贵的
やすみ,休み,休息；假日,しごと,工作
やすむ,休む,休息,はたらく,工作
やっつ,八つ,八个,ここのつ,九个
やま,山,山,かわ,河
やる,,做；给（动植物、晚辈）,あげる,给
ゆうがた,夕方,傍晚,あさ,早上
ゆうびんきょく,郵便局,邮局,ぎんこう,银行
ゆうべ,昨夜,昨晚,きのう,昨天
ゆうめい,有名,有名的,むめい,无名的
ゆき,雪,雪,あめ,雨
ゆっくり,,慢慢地,はやく,快快地
ようか,八日,八号；八天,ここのか,九号
ようふく,洋服,西服,わふく,和服
よく,,经常,たまに,偶尔
よこ,横,横,たて,竖
よっか,四日,四号；五天,いつか,五号
よっつ,四つ,四个,いつつ,五个
よぶ,呼ぶ,呼唤,さけぶ,喊叫
よむ,読む,读,かく,写
よる,夜,夜晚,ひる,白天
よわい,弱い,弱的,つよい,强的
らいげつ,来月,下个月,こんげつ,这个月
らいしゅう,来週,下周,こんしゅう,这周
らいねん,来年,明年,ことし,今年
ラジオ,,收音机,テレビ,电视
りょうしん,両親,父母,きょうだい,兄弟姐妹
りょうり,料理,菜肴；烹饪,しょくじ,用餐
りょこう,旅行,旅行,しゅっちょう,出差
れい,零,零,ゼロ,零
れいぞうこ,冷蔵庫,冰箱,せんたくき,洗衣机
レストラン,,餐厅,きっさてん,咖啡店
れんしゅう,練習,练习,ほんばん,正式上场
ろうか,廊下,走廊,へや,房间
ろく,六,六,なな,七
わかい,若い,年轻的,としより,年老的
わかる,分かる,明白,しる,知道
わすれる,忘れる,忘记,おぼえる,记住
わたし,私,我,あなた,你
わたす,渡す,递交,もらう,收到
わるい,悪い,坏的,いい,好的
