假名,日语汉字,中文翻译,容易混淆的单词,混淆词翻译
おば,伯母/叔母,伯母/叔母,おばあさん,奶奶/外婆
おまつり,お祭り,祭典/节日,パーティー,派对
おみまい,お見舞い,探望（病人）,お祝い,祝贺
おもちゃ,おもちゃ,玩具,道具,工具
おれい,お礼,谢礼/道谢,お願い,请求
おんせん,温泉,温泉,泉,泉水
か,課,科/课,家,家
かがく,科学,科学,数学,数学
かたち,形,形状/形式,色,颜色
かど,角,拐角,隅,角落
かね,金,钱,紙,纸
かべ,壁,墙壁,庭,院子
がみ,紙,纸（接尾词）,手紙,信
ガラス,ガラス,玻璃,,
かわ,川/河,河川,皮,皮/皮肤
かんけい,関係,关系,原因,原因
かんごふ,看護婦,护士（旧称）,看護師,护士（现称）
きかい,機会,机会,機械,机械
きけん,危険,危险,安全,安全
きそく,規則,规则,法律,法律
きもち,気持ち,心情/感觉,気分,身体状况/气氛
きもの,着物,和服,服,衣服
きゃく,客,客人/顾客,友達,朋友
きゅうこう,急行,快车,特急,特快
きょういく,教育,教育,体育,体育
きょうかい,教会,教会,協会,协会
きょうそう,競争,竞争,戦争,战争
きょうみ,興味,兴趣,趣味,爱好
きんじょ,近所,附近/邻居,隣,隔壁
くうき,空気,空气,天気,天气
くうこう,空港,机场,港,港口
くすり,薬,药,野菜,蔬菜
けいけん,経験,经验,試験,考试
けいさつ,警察,警察,医者,医生
けしき,景色,景色/风景,写真,照片
げんいん,原因,原因,理由,理由
けんか,喧嘩,吵架/打架,,
けんきゅう,研究,研究,勉強,学习
けんぶつ,見物,参观/游览,見学,参观学习
こうがい,郊外,郊外,海外,海外
こうぎ,講義,讲义/授课,授業,课程
こうぎょう,工業,工业,農業,农业
こうこう,高校,高中,大学,大学
こうじょう,工場,工厂,場所,场所
こうつう,交通,交通,通る,通过
こうどう,講堂,讲堂,食堂,食堂
こくさい,国際,国际,国内,国内
こころ,心,心/内心,体,身体
ごちそう,ご馳走,款待/盛宴,食事,用餐
こと,事,事情/状况,言葉,语言
こども,子供,孩子,大人,大人
ごみ,ごみ,垃圾,ほこり,灰尘
こんや,今夜,今晚,今晩,今晚
さいご,最後,最后,最初,最初
さいふ,財布,钱包,手袋,手套
しあい,試合,比赛,試験,考试
しかた,仕方,方法/办法,方法,方法
じしん,地震,地震,火事,火灾
したぎ,下着,内衣,上着,外衣
じだい,時代,时代,世代,世代
しなもの,品物,物品/商品,食べ物,食物
しま,島,岛,山,山
しみん,市民,市民,町民,镇民
じむしょ,事務所,事务所/办公室,教室,教室
しゃちょう,社長,社长/总经理,部長,部长
しゅうかん,習慣,习惯,趣味,爱好
じゅうしょ,住所,住址,場所,场所
じゅぎょう,授業,上课/课程,講義,讲义
しゅっせき,出席,出席,欠席,缺席
しゅみ,趣味,爱好,興味,兴趣
じゅんび,準備,准备,予定,计划
しょうかい,紹介,介绍,案内,引导
しょうがっこう,小学校,小学,中学校,中学
しょうせつ,小説,小说,話,故事/话
しょうたい,招待,招待,紹介,介绍
すいどう,水道,自来水,道路,道路
すうがく,数学,数学,科学,科学
スーツケース,スーツケース,行李箱,鞄,包
すな,砂,沙子,石,石头
せいかつ,生活,生活,人生,人生
せいさん,生産,生产,消費,消费
せいじ,政治,政治,経済,经济
せいよう,西洋,西洋/西方,東洋,东洋
せかい,世界,世界,国,国家
せき,席,座位,椅子,椅子
せつめい,説明,说明,話,话
せん,線,线,道,路
せんそう,戦争,战争,平和,和平
せんぱい,先輩,前辈,後輩,后辈
そうじ,掃除,打扫,洗濯,洗涤
そうだん,相談,商量/咨询,質問,提问
そふ,祖父,（自己的）祖父,おじいさん,（别人的）祖父
そぼ,祖母,（自己的）祖母,おばあさん,（别人的）祖母
たいふう,台風,台风,地震,地震
たたみ,畳,榻榻米,,
だんぼう,暖房,暖气,冷房,冷气
ち,血,血,水,水
ちから,力,力量/力气,体,身体
ちゅうがっこう,中学校,中学,高校,高中
ちゅうしゃ,注射,注射,駐車,停车
ちり,地理,地理,歴史,历史
つごう,都合,情况/方便,予定,预定
つり,釣り,钓鱼,狩り,狩猎
てんいん,店員,店员,客,客人
てんきよほう,天気予報,天气预报,予報,预报
てんらんかい,展覧会,展览会,美術館,美术馆
でんとう,電灯,电灯,電気,电
どうぐ,道具,工具,おもちゃ,玩具
とおく,遠く,远处,近く,附近
とこや,床屋,理发店,美容院,美容院
とちゅう,途中,途中/半路,最後,最后
とっきゅう,特急,特快,急行,快车
どろぼう,泥棒,小偷,警察,警察
ないよう,内容,内容,意味,意思
なみ,波,波浪,海,海
にんぎょう,人形,人偶/娃娃,人間,人类
ねつ,熱,热/发烧,温度,温度
ねだん,値段,价格,料金,费用
は,葉,叶子,花,花
ばあい,場合,场合/情况,時,时候
ばしょ,場所,场所/地点,所,地方
はず,はず,理应/应该,,
はつおん,発音,发音,声,声音
はなみ,花見,赏花,見物,参观
はやし,林,树林,森,森林
ばんぐみ,番組,节目,ニュース,新闻
はんたい,反対,反对,賛成,赞成
ひ,火,火,日,太阳/天
ひかり,光,光,音,声音
ひきだし,引き出し,抽屉,押し入れ,壁橱
ひげ,髭,胡须,髪,头发
ひこうき,飛行機,飞机,船,船
びじゅつかん,美術館,美术馆,博物館,博物馆
ひみつ,秘密,秘密,約束,约定
びょうき,病気,疾病,怪我,受伤
ひらがな,ひらがな,平假名,カタカナ,片假名
ビル,ビル,大楼,建物,建筑物
ふくしゅう,復習,复习,予習,预习
ぶちょう,部長,部长,課長,科长
ふとん,布団,被褥,ベッド,床
ふね,船,船,飛行機,飞机
ふべん,不便,不便,便利,方便
ぶんか,文化,文化,文明,文明
ぶんぽう,文法,语法,作文,作文
へいわ,平和,和平,戦争,战争
へん,辺,一带/附近,周り,周围
へんじ,返事,回信/回答,答え,答案
ぼうえき,貿易,贸易,輸出,出口
ほうそう,放送,广播,ニュース,新闻
ほうりつ,法律,法律,規則,规则
ぼく,僕,我（男性用）,私,我
ほし,星,星星,月,月亮
ほとんど,ほとんど,大部分/几乎,全部,全部
むかし,昔,以前/过去,今,现在
むすこ,息子,（自己的）儿子,お坊ちゃん,（别人的）儿子
むすめ,娘,（自己的）女儿,お嬢さん,（别人的）女儿
むら,村,村庄,町,城镇
ゆ,湯,热水/洗澡水,水,冷水
ゆしゅつ,輸出,出口,輸入,进口
ゆびわ,指輪,戒指,ネックレス,项链
ゆめ,夢,梦/梦想,現実,现实
ようい,用意,准备,準備,准备
ようじ,用事,事情/工作,仕事,工作
よてい,予定,预定/计划,約束,约定
よやく,予約,预约,約束,约定
りゆう,理由,理由,原因,原因
りよう,利用,利用,使用,使用
りょかん,旅館,日式旅馆,ホテル,西式酒店
るす,留守,不在家,在宅,在家
れきし,歴史,历史,地理,地理
れんらく,連絡,联系,電話,电话
わけ,訳,理由/缘故,意味,意思
あかるい,明るい,明亮的/开朗的,暗い,昏暗的
あさい,浅い,浅的,深い,深的
あつい,厚い,厚的,薄い,薄的
うすい,薄い,薄的/淡的,濃い,浓的
うつくしい,美しい,美丽的,きれい,干净的/美丽的
うまくいきます,うまくいきます,顺利,失敗します,失败
うれしい,嬉しい,高兴的/开心的,悲しい,悲伤的
おそろしい,恐ろしい,可怕的,怖い,害怕的
おとなしい,大人しい,老实的/安靜的,うるさい,吵闹的
かたい,硬い/固い,硬的,柔らかい,软的
かなしい,悲しい,悲伤的,うれしい,高兴的
きびしい,厳しい,严格的,優しい,温柔的
くらい,暗い,昏暗的,明るい,明亮的
くわしい,詳しい,详细的,簡単,简单的
こい,濃い,浓的,薄い,淡的
こまかい,細かい,细小的/详细的,大きい,大的
こわい,怖い,害怕的,恐ろしい,可怕的
すばらしい,素晴らしい,极好的/绝佳的,素敵,极好的
ただしい,正しい,正确的,違う,错误的
ちがいます,違います,不对/不同,同じ,相同
はずかしい,恥ずかしい,害羞的/惭愧的,,
ひどい,酷い,过分的/残酷的,優しい,温柔的
ふかい,深い,深的,浅い,浅的
ふとい,太い,粗的,細い,细的
ほしい,欲しい,想要的,,
ほそい,細い,细的,太い,粗的
まずい,まずい,难吃的/糟糕的,おいしい,好吃的
まるい,丸い,圆的,四角い,方的
むり,無理,勉强/不行,大丈夫,没问题
めずらしい,珍しい,珍奇的/罕见的,普通,普通的
やさしい,優しい,温柔的/和蔼的,易しい,简单的
やわらかい,柔らかい,柔软的,硬い,硬的
あんぜん,安全,安全的,危険,危险的
いろいろ,色々,各种各样,たくさん,很多
いや,嫌,讨厌/不愿意,好き,喜欢
おなじ,同じ,相同,違う,不同
かんたん,簡単,简单的,複雑,复杂的
けっこう,結構,可以/足够/相当,まあまあ,还算
しあわせ,幸せ,幸福的,不幸,不幸的
しつれい,失礼,失礼的/告辞,丁寧,礼貌的
じゅうぶん,十分,充分/足够,足りない,不足
じょうぶ,丈夫,结实的/健康的,弱い,弱的
しんせつ,親切,热情的,冷たい,冷淡的
すてき,素敵,极好的/绝妙的,きれい,漂亮的
だいじ,大事,重要/珍重,大切,重要/珍惜
たいせつ,大切,重要的/珍惜的,大事,重要/珍重
だめ,駄目,不行,いい,好的
てきとう,適当,适当的/合适的,不適当,不适当
とくべつ,特別,特别的,普通,普通的
ねっしん,熱心,热心的/热衷的,不熱心,不热心
ひつよう,必要,必要的,不要,不要
ふくざつ,複雑,复杂的,簡単,简单的
まじめ,真面目,认真的/严肃的,不真面目,不认真
まっすぐ,真っ直ぐ,笔直,曲がる,拐弯
ゆうめい,有名,有名的,,
りっぱ,立派,出色/气派,みすぼらしい,寒酸
ある,ある,某个（接名词前）,,
いえ,いえ,不（比いいえ更口语）,,
いかが,いかが,怎么样（どう的礼貌语）,,
いくら,いくら,无论怎样...也...,,
いつか,いつか,总有一天/不知何时,,
いっぱ,いっぱい,满/很多,,
ずいぶん,ずいぶん,相当/很,,
ずっと,ずっと,一直/（差别）得多,,
ぜひ,是非,一定/务必,,
ぜんぜん,全然,完全（后接否定）,,
そんなに,そんなに,那么地,,
それから,それから,然后,,
それで,それで,因此/所以,,
それに,それに,而且/再加上,,
それほど,それほど,那种程度,,
そろそろ,そろそろ,差不多该/就要,,
だいたい,大体,大概/大致,,
たいてい,大抵,大都/通常,,
だいぶ,大分,很/相当,,
だから,だから,所以,,
たしか,確か,好像是/的确,,
ただいま,ただいま,我回来了/现在,,
たぶん,多分,大概/或许,,
ちっとも,ちっとも,一点也（不）,,
ちょうど,ちょうど,正好/恰好,,
できるだけ,できるだけ,尽可能,,
では,では,那么,,
でも,でも,可是/不过,,
とうとう,とうとう,终于/终究,,
とくに,特に,特别/尤其,,
どんどん,どんどん,顺利地/接二连三地,,
なかなか,なかなか,相当/很/（后接否定）总不,,
なるほど,なるほど,原来如此,,
はじめに,初めに,最初/开始,,
はっきり,はっきり,清楚地,,
びっくり,びっくり,吓一跳,,
まず,まず,首先,,
また,また,又/再,,
まだ,まだ,还/尚,,
もし,もし,如果,,
もちろん,もちろん,当然,,
やっと,やっと,终于/好不容易,,
やはり/やっぱり,やはり/やっぱり,果然/还是,,
ゆっくり,ゆっくり,慢慢地,,
よくいらっしゃいました,よくいらっしゃいました,欢迎光临,,
よく,よく,经常/很好地,,
よろしい,よろしい,好的（いい的礼貌语）,,
あいさつ,挨拶,问候/寒暄,,
あじあ,アジア,亚洲,,
あく,開く,打开（自动词）,開ける,打开（他动词）
アパート,アパート,公寓,マンション,高级公寓
あぶない,危ない,危险的,安全,安全的
あぶら,油,油,,
あまい,甘い,甜的,辛い,辣的
アルバイト,アルバイト,兼职/打工,仕事,工作
いか,以下,以下,以上,以上
いがい,以外,以外,,
いがく,医学,医学,,
いと,糸,线,紐,绳子
いんかん,印鑑,印章,,
うけつけ,受付,接待处/接待员,,
うそ,嘘,谎言,本当,真的
うで,腕,手臂,足,脚/腿
うまい,うまい,好吃的/高明的,おいしい,好吃的
うら,裏,背面/里侧,表,正面
うりば,売り場,柜台/卖场,,
うんてん,運転,驾驶,運動,运动
お祝い,おいわい,祝贺,,
おいでになる,おいでになる,来/去/在（敬语）,,
おじょうさん,お嬢さん,（别人的）女儿,娘,（自己的）女儿
おっしゃる,おっしゃる,说（尊敬语）,言う,说
おっと,夫,（自己的）丈夫,ご主人,（别人的）丈夫
おつり,お釣り,找零,,
おみやげ,お土産,土特产/礼物,,
おもて,表,正面/外侧,裏,背面
おもいだす,思い出す,想起来,忘れる,忘记
おれる,折れる,折断（自动词）,折る,折（他动词）
おんがくか,音楽家,音乐家,,
カーテン,カーテン,窗帘,,
かいがん,海岸,海岸,岸,岸边
かいぎ,会議,会议,,
かいぎしつ,会議室,会议室,,
がいこく,外国,外国,,
かいだん,階段,楼梯,,
かいもの,買い物,购物,,
かいわ,会話,会话,,
かがみ,鏡,镜子,,
かじ,火事,火灾,地震,地震
かちょう,課長,科长,部長,部长
かっこう,格好,装束/样子,,
かまう,構う,介意/管,,
かみ,髪,头发,紙,纸
き,木,树,,
きぶん,気分,身体状况/气氛,気持ち,心情
きゅうりょう,給料,工资,,
ぎんこういん,銀行員,银行职员,,
くさ,草,草,木,树
くださる,下さる,给我（尊敬语）,いただく,得到（谦让语）
くび,首,脖子/头,頭,头
け,毛,毛/毛发,髪,头发
けいざい,経済,经济,政治,政治
けが,怪我,受伤,病気,生病
けっして,決して,决不（后接否定）,,
げしゅく,下宿,寄宿,,
げんかん,玄関,玄关,,
こ,子,孩子,,
ごい,語彙,词汇,,
こうこうせい,高校生,高中生,大学生,大学生
こうむいん,公務員,公务员,,
ごぞんじ,ご存知,知道（尊敬语）,知る,知道
こたえ,答え,回答/答案,言葉,单词/语言
こまる,困る,为难/困扰,,
こめ,米,米,ご飯,米饭
こわれる,壊れる,坏了（自动词）,変わる,变化
さくぶん,作文,作文,,
さとう,砂糖,砂糖,塩,盐
さびしい,寂しい,寂寞的,,
さんぎょう,産業,产业,,
ざんぎょう,残業,加班,,
じけん,事件,事件,事故,事故
じこ,事故,事故,事件,事件
しつれいします,失礼します,告辞/失礼了,,
じてん,辞典,辞典,辞書,词典
しっかり,しっかり,好好地/牢固地,,
しっぱい,失敗,失败,成功,成功
しゃかい,社会,社会,,
じゃま,邪魔,打扰/妨碍,,
じゅうどう,柔道,柔道,,
しゅっぱつ,出発,出发,到着,到达
しょうらい,将来,将来,未来,未来
じんこう,人口,人口,,
じんじゃ,神社,神社,寺,寺庙
しんぱい,心配,担心,安心,安心
しんぶんしゃ,新聞社,报社,,
すいえい,水泳,游泳,,
すくない,少ない,少的,多い,多的
すごい,すごい,厉害的/了不起的,,
すっかり,すっかり,完全/全部,,
スピーチ,スピーチ,演讲,,
すみ,隅,角落,角,拐角
すむ,済む,完事/解决,住む,居住
ぜんぶ,全部,全部,,
そんな,そんな,那样的,,
たいいん,退院,出院,入院,住院
たな,棚,架子,,
たのしみ,楽しみ,乐趣/期待,,
だんせい,男性,男性,女性,女性
だんだん,だんだん,渐渐地,,
ちゅうい,注意,注意,,
ていねい,丁寧,礼貌的/仔细的,失礼,失礼的
てつだう,手伝う,帮忙,,
でんぽう,電報,电报,,
なげる,投げる,投/扔,,
にがい,苦い,苦的,甘い,甜的
にもつ,荷物,行李,,
にゅういん,入院,住院,退院,出院
ぬるい,温い,温的/不凉不热的,,
ねむい,眠い,困的,,
パート,パート,兼职（小时工）,,
はいけん,拝見,看（谦让语）,ご覧になる,看（尊敬语）
ひこうじょう,飛行場,飞机场,空港,机场
ひじょうに,非常に,非常,,
びっくりする,びっくりする,吓一跳,驚く,吃惊
ひっこす,引っ越す,搬家,,
ひらく,開く,举办/开设,,
ふつう,普通,普通/一般,,
ふとる,太る,胖,痩せる,瘦
プレゼント,プレゼント,礼物,お土産,土特产
ぶんがく,文学,文学,,
べつ,別,另外/别的,,
ほんやく,翻訳,笔译,通訳,口译
まいります,参ります,来/去（谦让语）,いらっしゃいます,来/去（尊敬语）
または,または,或者,,
まちがい,間違い,错误,,
まんが,漫画,漫画,,
まんなか,真ん中,正中间,,
みえる,見える,能看见,見る,看
みつめる,見つめる,凝视,,
みどり,緑,绿色,,
みなと,港,港口,空港,机场
めしあがる,召し上がる,吃/喝（尊敬语）,いただく,吃/喝（谦让语）
もうしあげる,申し上げる,说（谦让语）,おっしゃる,说（尊敬语）
もうす,申す,说（「言う」的谦让语）,,
もどる,戻る,返回,帰る,回家
もの,者,人（谦虚的说法）,,
やく,焼く,烤/烧,焼ける,烤好/烧着
やくそく,約束,约定,予約,预约
やける,焼ける,烤好/烧着（自动词）,焼く,烤（他动词）
やせる,痩せる,瘦,太る,胖
ゆにゅう,輸入,进口,輸出,出口
ゆび,指,手指,,
よう,用,事情,,
よごれる,汚れる,脏了（自动词）,汚す,弄脏（他动词）
よしゅう,予習,预习,復習,复习
りょうがわ,両側,两侧,,
れい,例,例子,,
れいぼう,冷房,冷气,暖房,暖气
わく,沸く,沸腾（自动词）,沸かす,烧开（他动词）
わすれもの,忘れ物,遗忘的东西,,
われる,割れる,碎了/裂开（自动词）,割る,打破（他动词）
,,,,
